,Wavelength,Corrected_Intensity
149,508.3,72.58642259081307
150,509.1,65.94525081386362
151,510.0,59.957847212108994
152,510.8,54.5649712504692
153,511.7,49.71283056866434
154,512.5,45.352261992689456
155,513.3,41.43993309496517
156,514.1,37.936871483903474
157,514.9,34.80725349256957
158,515.7,32.019385458614025
159,516.5,29.54359135344976
160,517.3,27.35425910927274
161,518.1,25.428373905778344
162,518.9,23.743786626647275
163,519.7,22.279779570544008
164,520.5,21.01642220621198
165,521.2,19.936631465884364
166,522.0,19.023316025792866
167,522.8,18.26138951894956
168,523.6,17.635270574772324
169,524.4,17.131557534563324
170,525.2,16.736132378475972
171,526.0,16.436386579905133
172,526.8,16.219291691095577
173,527.6,16.073459513816903
174,528.4,15.987775044361852
175,529.2,15.951505351046249
176,530.0,15.954027379842278
177,530.7,15.985921955120915
178,531.5,16.038416648856035
179,532.3,16.10388590527595
180,533.1,16.175440020330207
181,533.9,16.247112119503022
182,534.7,16.3146540167035
183,535.5,16.3749308442482
184,536.3,16.42741545171828
185,537.1,16.472597830191553
186,537.9,16.512585772455246
187,538.7,16.55023407619522
188,539.5,16.590637652739233
189,540.2,16.63909316150125
190,541.0,16.702522163580127
191,541.8,16.78747150645246
192,542.6,16.90109908249463
193,543.4,17.049770214174966
194,544.2,17.239117201613873
195,545.0,17.47517788829657
196,545.8,17.76218335078569
197,546.6,18.104016375140777
198,547.4,18.502951049529845
199,548.2,18.96178303987358
200,549.0,19.482193011129336
201,549.7,20.065961838437406
202,550.5,20.714766517594164
203,551.3,21.43105761320139
204,552.1,22.21786055828932
205,552.9,23.07926909579517
206,553.7,24.02082424330701
207,554.5,25.0489473479959
208,555.3,26.172201909301588
209,556.1,27.40049129690793
210,556.9,28.744737047511563
211,557.7,30.216650532925527
212,558.5,31.827160396649855
213,559.2,33.587628336991465
214,560.0,35.507684500416815
215,560.8,37.595818371110845
216,561.6,39.85734612320693
217,562.4,42.29405455932047
218,563.2,44.9030659330471
219,564.0,47.67636540076112
220,564.8,50.60090354147682
221,565.6,53.65773957137452
222,566.4,56.82217177976522
223,567.2,60.06295111379089
224,568.0,63.344927246935214
225,568.7,66.62764402378835
226,569.5,69.86744963130651
227,570.3,73.01766394030997
228,571.1,76.03139435347873
229,571.9,78.861790101521
230,572.7,81.46459209503564
231,573.5,83.79962993993843
232,574.3,85.83169036960412
233,575.1,87.53230866839056
234,575.9,88.8796754160985
235,576.7,89.86090071495515
236,577.5,90.47104723958957
237,578.2,90.71413885041305
238,579.0,90.60258175087823
239,579.8,90.15535285001071
240,580.6,89.39950824562611
241,581.4,88.36684346354728
242,582.2,87.093796816136
243,583.0,85.62011821171619
244,583.8,83.98695797530019
245,584.6,82.2368713181538
246,585.4,80.41061231207739
247,586.2,78.54884937471479
248,587.0,76.68799143663493
249,587.7,74.8628504759017
250,588.5,73.1034219326085
251,589.3,71.4364975550385
252,590.0,69.88379722743385
253,590.8,68.46339850785473
254,591.5,67.18835601170828
255,592.3,66.06773162503906
256,593.0,65.10584656847955
257,593.8,64.30390953209977
258,594.5,63.657805651536286
259,595.3,63.16163212705902
260,596.0,62.80569203056432
261,596.8,62.57870617593861
262,597.5,62.46689954954253
263,598.3,62.45510120273603
264,599.0,62.52797536962338
265,599.8,62.6684980518351
266,600.5,62.86115233168545
267,601.3,63.090518254143994
268,602.0,63.34418219483117
269,602.8,63.610892804044695
270,603.5,63.8823334780021
271,604.3,64.15233907086284
272,605.0,64.41731238518935
273,605.8,64.67765670571288
274,606.5,64.93644173163116
275,607.3,65.19962276296508
276,608.0,65.47422968566313
277,608.8,65.77025053717767
278,609.5,66.1001320443652
279,610.3,66.47820239443558
280,611.0,66.9194654164872
281,611.8,67.43945718794079
282,612.5,68.0548673872675
283,613.3,68.78281578153593
284,614.0,69.6404409570794
285,614.8,70.64429252347563
286,615.5,71.81094043471332
287,616.3,73.15622802486381
288,617.0,74.6958470703567
289,617.8,76.44403496063022
290,618.5,78.41504201375135
291,619.3,80.62226115319852
292,620.0,83.0783964184911
293,620.8,85.79772591364545
294,621.5,88.79481741953514
295,622.3,92.08822371753496
296,623.0,95.70497379397084
297,623.8,99.69144377645085
298,624.5,104.12649344082035
299,625.3,109.10861470329807
300,626.1,114.68621320148127
301,626.8,120.88686852984019
302,627.6,127.76931166214437
